Campaign name,By Day,Ad name,Campaign ID,Ad group name,Ad group ID,Ad ID,Cost,Impressions,Clicks (destination),Frequency,Conversions,Video views,2-second video views,6-second video views,Video views at 100%,Video views at 75%,Video views at 50%,Video views at 25%,Average play time per video view,Adds to cart (website),Add to cart value (website),Currency
Newness: Collection Ads | Conversions - CPA | Séduire Collection - Europe,2025-10-13,Ad | Video | Campaign | Product | Standard | Alba Maxi Burgundy | ED: 30/12/26,1845422570444865,Drop- #1 | ED: 06/01/2026,1845422570451025,1845422570452065,0.38,112,0,1.02,0,110,16,4,2,4,4,13,1.30,0,0.00,AUD
Seasonal Collection | US Only,2025-10-14,Seasonal Vacation | Saira & Odele | Logo Only | Zephyr Campaign Content,1841693723595922,Seasonal Vacation New,1843521258695730,1843521448060946,0.38,37,0,1.03,0,37,2,1,1,1,1,2,1.34,0,0.00,AUD
Newness: Collection Ads  | Conversions - CPA | October | Funnel - Top Markets,2025-10-17,Boosted | Video | Influencer/PR | Product | Compilation | @nicoledelosreyes | ED: 13/01/26,1844953045703745,Cold #2 - 15/10/2025,1846044076078353,1846044110387393,0.38,77,0,1.05,0,74,6,2,1,1,1,1,2.79,0,0.00,AUD
Newness: Collection Ads | Conversions - CPA | Séduire Collection - Europe,2025-10-17,Ad | Video | Campaign | Product | Standard | Alba Maxi Burgundy | ED: 30/12/26,1845422570444865,Drop- #1 | ED: 06/01/2026,1845422570451025,1845422570452065,0.38,104,1,1.04,0,103,15,4,0,2,7,10,1.27,0,0.00,AUD
Newness: Collection Ads  | Conversions | September | Funnel - Australia 13-17,2025-10-18,Argy Talking BTS Suiting | TikTok | ED: 30/12/2025,1842332114924626,Cold #3 - 24/9/2025,1844242652257410,1844768938666017,0.38,114,10,1.43,0,124,77,77,74,74,75,77,16.44,0,0.00,AUD
Newness: Collection Ads  | Conversions | August | Funnel - Top Markets,2025-10-18,Alaia GRWM Ivory | TikTok | ED: 22/11/2025,1839260273016914,Cold #2 - 8/22/2025 US Excluded,1841505490794561,1841505490795521,0.38,54,1,1.17,0,40,4,1,0,0,1,3,1.47,0,0.00,AUD
Newness: Collection Ads  | Conversions - CPA | October | Funnel - ROW,2025-10-19,Boosted | Video | Social Shoot | Reaction | Standard | Tyla - Mona Mini Dress Ivory  ED: 07/01/26,1844953361211554,Cold #1 - 3/10/2025,1845228413066353,1845512219050018,0.38,44,0,3.14,0,45,4,1,0,0,1,1,1.30,0,0.00,AUD
Newness: Collection Ads  | Conversions | August | Funnel - Top Markets,2025-10-17,PR Content Sauline & Vixen Lemon | TikTok | ED: 18/11/2025,1839260273016914,Cold #1 - 8/1/2025 US excluded,1841504672272466,1841504672275650,0.37,67,0,1.10,0,58,14,4,2,3,6,11,2.29,0,0.00,AUD
Newness: Collection Ads | Conversions | Solune Collection - Top markets,2025-10-16,Solune Collection Drop 2 | Video 6 (Campaign Launch Video) | ED: 25/11/2025,1840921375952049,Drop-#2 | ED: 25/11/2025,1841526562092210,1841526562094290,0.37,48,1,1.02,0,46,3,2,0,1,1,2,1.47,0,0.00,AUD
Newness: Collection Ads  | Conversions - CPA | September | Funnel - US,2025-10-16,PR Content Ellabekind Aveta Ivory | TikTok | ED: 24/12/2025,1842432547494225,Cold #3 - 24/9/2025,1844239678553266,1844239794584577,0.37,53,0,1.04,0,50,6,2,0,0,2,3,1.37,0,0.00,AUD
